certainty,action,keep_container,keep_blob,delete_container,delete_blob,content_length,content_md5,sha256_computed
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/codex/show-checklist-bar-for-launch-steps,make-money,marketing command center/.git/refs/remotes/origin/codex/show-checklist-bar-for-launch-steps,41,0865f28b1ca215ca095a83ac4571807d,e1070ade320c6d9096edf844a142bad341ffb9913342b9680d98d23e0b8fe647
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/codex/wire-ingest-lead-button-functionality,make-money,marketing command center/.git/refs/remotes/origin/codex/wire-ingest-lead-button-functionality,41,607f830161fbabbbadb0c38975ed4542,c38ca459fae330333a41414b4a35897cf014ff2a67eb92c0f2a9c8faa60cb639
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/codex/wire-ingest-lead-button-functionality-eibp7t,make-money,marketing command center/.git/refs/remotes/origin/codex/wire-ingest-lead-button-functionality-eibp7t,41,155afa272382d3398a59ed5d81046208,493deaddcef31ae1412936b1c4bce840c4afb23473b89ea352153d986dce1ad8
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/main,make-money,marketing command center/.git/refs/remotes/origin/main,41,55e8aea4b0598f3f50d5181a7763a73f,b8ddc4f61449e99a55c2bb4b828f5c06cf7ac87e20d4e9703ae2b1764b3e0d02
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/revert-21-acmltd105-patch-1,make-money,marketing command center/.git/refs/remotes/origin/revert-21-acmltd105-patch-1,41,d7545ce39ade82df617f103f9f79b2a0,63be0888ce9fa8a8ae3beebb78f084b2f619462083484c6b754dd7ffcaee8b0c
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/test-feature,make-money,marketing command center/.git/refs/remotes/origin/test-feature,41,93c6eb987a29055ae71ff3b9f48e916a,88357d7fcce020f7c62d6b78175ccf03acfb75d9b202b975c6e8276d323da414
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,claude-memory,merged-from-old/sessions/2026-02-01_believe-skill-connect-omnifocus-via-dev_ADMIN-8.md,claude-memory,merged-from-old/sessions/2026-02-01_believe-skill-connect-omnifocus-via-dev_ADMIN-9.md,2954,f4b2e6aca48df9f2531311e32f13f165,e70c6c185f019eb431c49a81420642ea9cd1f13f3c09f07d8fd5bcfbb684f2fe
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/26-add-15-20-new-colored-themes-and-integrate-into-theme-dropdown,make-money,marketing command center/.git/logs/refs/remotes/origin/26-add-15-20-new-colored-themes-and-integrate-into-theme-dropdown,162,2c51a01832bcea93b48bbd7916413f8a,e4cba970fb41eaa88ee21d854420b4c807b0d5241ec9f656536f980794f2e71f
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/NEXIE,make-money,marketing command center/.git/logs/refs/remotes/origin/NEXIE,162,12989cafa525c2adaf02db7de4160d5d,d548e66406cff2c56286e9729cfb21520efd7538453f59b1f24287e013a4fd05
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/acmltd105-patch-1,make-money,marketing command center/.git/logs/refs/remotes/origin/acmltd105-patch-1,162,7b79864c9c27785e92784bdbf412976f,a3b583d2cd6505e2ed1766be08128134637e24549814544956f23c7e485e1706
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/codex/add-skin-selector-for-color-theme,make-money,marketing command center/.git/logs/refs/remotes/origin/codex/add-skin-selector-for-color-theme,162,4b5c1e9add2c15464dfa2a54bfda706c,682024aa55053b7da53000fce3cbfa8c5053b52b0ce8244b40f5e286b4ba29ef
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/codex/deploy-frontend-to-vercel,make-money,marketing command center/.git/logs/refs/remotes/origin/codex/deploy-frontend-to-vercel,162,691c46fae5e28b15909139ae4ad86953,8e39a8ca054d798a2cd4e6c9d970591d6262484b4a7a15bd2a8a8f5ce6615efd
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/codex/deploy-frontend-to-vercel-w2gixp,make-money,marketing command center/.git/logs/refs/remotes/origin/codex/deploy-frontend-to-vercel-w2gixp,162,9245dcdea4a4dc28f628287b736ea408,a37d7f4155b6d7ddc5bce1002599837081bb9b4b6096898b0603690628230aab
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/codex/finalize-monorepo-application-for-launch,make-money,marketing command center/.git/logs/refs/remotes/origin/codex/finalize-monorepo-application-for-launch,162,0845212c5671bc60c7533727d64e9a4f,c608c5302a67ef9638233e5ff3793eb7ea3c238fc2f9cf504e4731caaa8e1d9e
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/codex/find-email-templates-for-dental-and-precare-coverage-bku57i,make-money,marketing command center/.git/logs/refs/remotes/origin/codex/find-email-templates-for-dental-and-precare-coverage-bku57i,162,b7c85b7eb1c2efc9e1cf748ba3cd8629,512791d143e42e17a18dffd14829e273317aa6ce8ac7f386adff479680549f1c
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/codex/find-email-templates-for-dental-and-precare-coverage-cxc1oz,make-money,marketing command center/.git/logs/refs/remotes/origin/codex/find-email-templates-for-dental-and-precare-coverage-cxc1oz,162,d75f35c01bd554d57389471a2e5badd7,7d87ad0620da4d1795da294138536f64d79b642a866923427fcb4dc795e6de29
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/codex/find-email-templates-for-dental-and-precare-coverage-dftp26,make-money,marketing command center/.git/logs/refs/remotes/origin/codex/find-email-templates-for-dental-and-precare-coverage-dftp26,162,fdb07fcc8370c0e0bede09e93050a129,3899af692624e7d6eb755b62f2606f3e745d465282598d70ad7cea6f63dc0e58
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/codex/integrate-revenue-and-expense-tabs,make-money,marketing command center/.git/logs/refs/remotes/origin/codex/integrate-revenue-and-expense-tabs,162,8d1076c2b5b2fbc4951f7f18cf12e864,09a6f1044d046f6e2320d812c2e9bd497dae2b8932d6e4bd3e4d037621d13d8c
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/codex/integrate-revenue-and-expense-tabs-ugnmqm,make-money,marketing command center/.git/logs/refs/remotes/origin/codex/integrate-revenue-and-expense-tabs-ugnmqm,162,1a072b13c1802714d2e045b9724095c6,fd6aa082d1e711c9041bbbccc638900a7dfffb747b910f93256b685feb64b6b3
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/codex/set-up-dashboard-for-project-overview,make-money,marketing command center/.git/logs/refs/remotes/origin/codex/set-up-dashboard-for-project-overview,162,edd31fe897a21545704911600b7fc6db,8b4fe04cde2777c7122c06e15c5ad1088e6f6a66a534bf9fcf023bea15b39812
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/codex/show-checklist-bar-for-launch-steps,make-money,marketing command center/.git/logs/refs/remotes/origin/codex/show-checklist-bar-for-launch-steps,162,ca48cdfeffd5099c8fff2db97b3515b4,cf063aef4202ad3eb0f29e241579c519ac77868c546b24d30f713c167c379f32
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/codex/wire-ingest-lead-button-functionality,make-money,marketing command center/.git/logs/refs/remotes/origin/codex/wire-ingest-lead-button-functionality,162,3909ee7907046b08fdc07df0b5161f62,90e1c3e852f8a2c43bf4ed4581927fa1950e2011282301ab08ea58dfde224386
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/codex/wire-ingest-lead-button-functionality-eibp7t,make-money,marketing command center/.git/logs/refs/remotes/origin/codex/wire-ingest-lead-button-functionality-eibp7t,162,2f14afbe550854dacca8709d6a51b032,63f6bd290a4cf8bae34939afdd76a2b292da4c2886b938d1d0afa7233814f3c4
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/main,make-money,marketing command center/.git/logs/refs/remotes/origin/main,162,48f61f82088a8930269d0b265da7bfb8,da500f23ec816fc090a128d61f5fe921e2206c6fb14e8ca382533d2c9d1b9796
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/revert-21-acmltd105-patch-1,make-money,marketing command center/.git/logs/refs/remotes/origin/revert-21-acmltd105-patch-1,162,5b8c66cd616a49438e121e3ae1da513f,a733c921df051ead85c7c70d7dd2c13b54a4ce69c84b3e02f8617de1b743783e
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/origin/test-feature,make-money,marketing command center/.git/logs/refs/remotes/origin/test-feature,162,62b5a53f4e0476541b5679847a46b48e,95246d0144ca90b6d7dd8a719cb82ed959eb45abf936af1a7fd2faf0d532c01d
